Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
614,Madden NFL 13,X360,EA Sports,EA Tiburon,8,,2.93,2012
615,Doom (2016),PS4,Bethesda Softworks,id Software,,,2.92,2016
616,Mass Effect,X360,Microsoft Game Studios,BioWare Edmonton,9.2,9.1,2.91,2007
617,FIFA 15,X360,EA Sports,EA Canada,6.9,,2.91,2014
618,Counter-Strike: Condition Zero,PC,Sierra Entertainment,Turtle Rock Studios,6.8,,2.9,2004
619,Dragon Ball Z: Budokai 2,PS2,Atari,Dimps Corporation,,,2.9,2003
620,Final Fantasy III,SNES,Square,SquareSoft,9.1,,2.9,1994
621,Mortal Kombat (2011),PS3,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.5,,2.9,2011
622,World Soccer Winning Eleven 7 International,PS2,Konami,Konami Computer Entertainment Tokyo,9.2,,2.9,2004
623,Sega Superstars Tennis,X360,Sega,Sumo Digital,6.9,,2.89,2008
624,Cooking Mama: Cook Off,Wii,Majesco,Office Create,5.9,,2.89,2007
625,Hot Shots Golf 3,PS2,Sony Computer Entertainment,Clap Hanz,8,,2.89,2002
626,Call of Duty: Finest Hour,PS2,Activision,Spark Unlimited,,,2.89,2004
627,Syphon Filter,PS,989 Studios,Eidetic,9.2,,2.88,1999
628,Imagine: Babyz,DS,Ubisoft,Visual Impact,3.5,,2.87,2007
629,Fire Emblem: Three Houses,NS,Nintendo,Intelligent Systems,8.9,8.7,2.87,2019
630,Mafia III,PS4,2K Games,Hangar 13,6.9,5.2,2.87,2016
631,Subnautica,PC,Unknown Worlds Entertainment,Unknown Worlds Entertainment,8.7,8.4,2.87,2018
632,Colin McRae Rally,PS,Sony Computer Entertainment,Codemasters,7.9,,2.87,2000
633,Wii Music,Wii,Nintendo,Nintendo EAD,5.6,,2.86,2008
634,The Elder Scrolls III: Morrowind,XB,Bethesda Softworks,Bethesda Softworks,8.2,,2.86,2002
635,Prison Architect,PC,Introversion Software,Introversion Software,,,2.86,2015
636,Assassin's Creed: Brotherhood,PS3,Ubisoft,Ubisoft Montreal,9.1,,2.85,2010
637,Command & Conquer: Red Alert,PC,Virgin Interactive,Westwood Studios,9.3,,2.85,1996
638,F-Zero,SNES,Nintendo,Nintendo EAD,,,2.85,1991
639,Yoshi's Story,N64,Nintendo,Nintendo EAD,,,2.85,1998
640,The Walking Dead: A Telltale Games Series,PC,Telltale Games,Telltale Games,8.9,8.7,2.85,2012
641,Metroid Prime,GC,Nintendo,Retro Studios,9.6,9.5,2.84,2002
642,Zumba Fitness 2,Wii,Majesco,"Pipeworks Software, Inc.",,,2.83,2011
643,Madden NFL 10,X360,EA Sports,EA Tiburon,8.6,,2.83,2009
644,BioShock,X360,2K Games,2K Australia / 2K Boston,9.6,9.5,2.83,2007
645,Mario Party: Island Tour,3DS,Nintendo,"Nd Cube Co., Ltd.",5.5,6,2.83,2013
646,Yoshi's Island: Super Mario Advance 3,GBA,Nintendo,Nintendo EAD,,,2.83,2002
647,WWE SmackDown! vs. Raw,PS2,THQ,Yuke's,8.4,,2.83,2004
648,Finding Nemo,GBA,THQ,Vicarious Visions,7,,2.82,2003
649,Medal of Honor,PS3,Electronic Arts,EA Los Angeles,7,,2.82,2010
650,Diablo III: Ultimate Evil Edition,PS4,Blizzard Entertainment,Blizzard Entertainment,9,7.9,2.82,2014
651,The Legend of Zelda: A Link to the Past,GBA,Nintendo,"Flagship Co., Ltd. / Nintendo EAD",9.6,,2.82,2002
652,Gran Turismo (PSP),PSN,Sony Computer Entertainment,Polyphony Digital,7.8,,2.82,2009
653,Need for Speed: Hot Pursuit,PS3,Electronic Arts,Criterion Games,8.9,,2.81,2010
654,Imagine: Fashion Designer,DS,Ubisoft,Virtual Toys / Lexis Numerique,3,,2.81,2007
655,Killzone 3,PS3,Sony Computer Entertainment,Guerrilla Games,8.2,,2.81,2011
656,Hitman: Absolution,PC,Square Enix,IO Interactive,9,7.1,2.81,2012
657,WWE SmackDown! Here Comes the Pain,PS2,THQ,Yuke's,9.1,,2.8,2003
658,Dragon Quest V: Tenkuu no Hanayome,SNES,Enix,ChunSoft,,,2.8,1992
659,Infestation: Survivor Stories,PC,Unknown,Hammerpoint Interactive,3,,2.8,2012
660,Tekken 5,PS2,Namco,Namco,9,,2.8,2005
661,Hot Shots Golf,PS,Sony Computer Entertainment,Camelot Software Planning,8,,2.79,1998
662,Trine 2,PC,Frozenbyte,Frozenbyte,9,8.4,2.79,2011
663,Skylanders: Spyro's Adventure,Wii,Activision,Toys for Bob,8,,2.79,2011
664,A Bug's Life,PS,Sony Computer Entertainment,Traveller's Tales,3.6,,2.79,1998
665,WWF SmackDown! Just Bring It,PS2,THQ,Yuke's,,,2.79,2001
666,Mortal Kombat Trilogy,PS,Midway Games,Avalanche Software,6,,2.79,1996
667,NBA Street,PS2,EA Sports BIG,NuFX,9.3,,2.79,2001
668,Jak II,PS2,Sony Computer Entertainment,Naughty Dog,9.5,,2.78,2003
669,Ratchet & Clank: Going Commando,PS2,Sony Computer Entertainment,Insomniac Games,8.7,,2.78,2003
670,The Sims,PS2,Electronic Arts,Edge of Reality,8,,2.77,2003
671,Star Wars: The Force Unleashed,X360,LucasArts,LucasArts,7.1,,2.77,2008
672,Saints Row: The Third,X360,THQ,Volition Inc.,8.3,,2.77,2011
673,Donkey Kong Country Returns 3D,3DS,Nintendo,Monster Games,8.6,8.3,2.76,2013
674,Missile Command,2600,Atari,Atari,,,2.76,1981
675,Battlefield 3,PC,Electronic Arts,Dice,8.9,7.6,2.76,2011
676,The Binding of Isaac: Rebirth,PC,Nicalis,Nicalis,8.6,8.4,2.76,2014
677,Mario Tennis Aces,NS,Nintendo,Camelot Software Planning,7.8,7.1,2.75,2018
678,Resident Evil,PS,Capcom,Capcom,8.6,,2.75,1996
679,Need for Speed: Most Wanted (2012),PS3,Electronic Arts,Criterion Games,,,2.74,2012
680,Tetris DS,DS,Nintendo,Nintendo,8.5,,2.74,2006
681,L.A. Noire,X360,Rockstar Games,Team Bondi,9.1,,2.73,2011
682,Metroid,NES,Nintendo,Nintendo R&D1,8,,2.73,1987
683,Ring Fit Adventure,NS,Nintendo,Nintendo EPD,8.3,8.8,2.73,2019
684,Far Cry: Primal,PS4,Ubisoft,Ubisoft Montreal,7.2,,2.73,2016
685,"Pokemon: Let's Go, Eevee!",NS,Nintendo,Game Freak,8.3,6.1,2.73,2018
686,Overwatch,XOne,Blizzard Entertainment,Blizzard Entertainment,8.7,5.9,2.72,2016
687,Need for Speed (2015),PS4,Electronic Arts,Ghost Games,7,,2.72,2015
688,Madden NFL 13,PS3,EA Sports,EA Tiburon,8.3,,2.71,2012
689,Skate 3,X360,EA Sports,EA Black Box,8.3,,2.71,2010
690,Tom Clancy's Rainbow Six: Siege,XOne,Ubisoft,Ubisoft Montreal,,,2.71,2015
691,Divinity: Original Sin,PC,Focus Home Interactive,Unknown,8.7,8.7,2.71,2015
692,Madden NFL 12,X360,EA Sports,EA Tiburon,7.8,,2.7,2011
693,1602 A.D.,PC,Sunflowers,Max Design,7.9,,2.7,2000
694,Dead Rising 3,XOne,Microsoft Studios,Capcom,8.3,6.9,2.7,2013
695,Mario Party,N64,Nintendo,Hudson Soft,7.6,,2.7,1999
696,World of Warcraft: Mists of Pandaria,PC,Blizzard Entertainment,Blizzard Entertainment,8.7,5,2.7,2012
697,Call of Duty 3,X360,Activision,Treyarch,8,8.4,2.7,2006
698,LEGO Star Wars II: The Original Trilogy,PS2,LucasArts,Traveller's Tales,8.4,,2.69,2006
699,Madden NFL 11,X360,EA Sports,EA Tiburon,8.3,,2.69,2010
700,Burnout 3: Takedown,PS2,Electronic Arts,Criterion Games,9.3,,2.68,2004
701,Mortal Kombat,GEN,Arena Entertainment,Probe Entertainment Limited,,,2.67,1993
702,Halo Wars,X360,Microsoft Game Studios,Ensemble Studios,8.1,8.5,2.67,2009
703,Call of Duty 2: Big Red One,PS2,Activision,Treyarch,8.5,,2.67,2005
704,Medal of Honor,PS,Electronic Arts,DreamWorks Interactive,9.3,,2.67,1999
705,Guitar Hero: World Tour,X360,Activision,Neversoft Entertainment,8.6,,2.66,2008
706,WWE SmackDown! Shut Your Mouth,PS2,THQ,Yuke's,8.2,,2.66,2002
707,Final Fantasy XIII-2,PS3,Square Enix,Square Enix,8,,2.66,2012
708,Medal of Honor Heroes,PSP,Electronic Arts,Team Fusion,6.7,,2.66,2006
709,Hannah Montana,DS,Buena Vista,DC Studios,6.5,,2.65,2006
710,Need for Speed: Shift,PS3,Electronic Arts,Slightly Mad Studios,8.2,,2.65,2009
711,Tom Clancy's Splinter Cell,PS2,Ubisoft,Ubisoft,9.1,,2.65,2003
712,Star Wars: Shadows of the Empire,N64,Nintendo,LucasArts,6.5,,2.65,1996
713,Super Mario Bros. 2 (FDS),NES,Nintendo,Nintendo EAD,8.5,8.1,2.65,1986
714,Ace Combat 04: Shattered Skies,PS2,Namco,Namco,8.9,,2.64,2001
715,Medal of Honor,X360,Electronic Arts,EA Los Angeles,7.3,,2.64,2010
716,NBA 2K12,X360,2K Sports,Visual Concepts,9.1,,2.64,2011
717,Midnight Club: Street Racing,PS2,Rockstar Games,Angel Studios,8.6,,2.63,2000
718,NBA 2K13,PS3,2K Sports,Visual Concepts,8.9,,2.63,2012
719,Mario & Luigi: Dream Team,3DS,Nintendo,AlphaDream Corporation,8,8.1,2.63,2013
720,NBA 2K19,PS4,2K Sports,Visual Concepts,8.2,2.6,2.63,2018
721,ESPN NFL 2K5,PS2,Sega,Visual Concepts,9.3,,2.62,2004
722,Madden NFL 18,PS4,EA Sports,EA Tiburon,8.2,3.7,2.62,2017
723,FIFA Soccer 10,X360,EA Sports,EA Canada,8.9,,2.62,2009
724,LittleBigPlanet,PSP,Sony Computer Entertainment,SCEE Cambridge,8.8,,2.61,2009
725,Harry Potter and the Chamber of Secrets,PS2,Electronic Arts,Eurocom Entertainment Software,8.4,,2.61,2002
726,Mario Strikers Charged,Wii,Nintendo,Next Level Games,7.7,,2.6,2007
727,Monster Hunter 3G,3DS,Capcom,Capcom,7.6,,2.6,2013
728,Streets of Rage,GEN,Sega,Sega,,,2.6,1990
729,Grand Theft Auto: Episodes from Liberty City,X360,Rockstar Games,Rockstar North,9,,2.6,2009
730,LEGO Star Wars: The Complete Saga,X360,LucasArts,Traveller's Tales,8,,2.59,2007
731,Mario + Rabbids: Kingdom Battle,NS,Ubisoft,Ubisoft Milan,8.3,8.5,2.59,2017
732,Tom Clancy's The Division,XOne,Ubisoft,Massive Entertainment,8,6.9,2.59,2016
733,FIFA Soccer 09,PS3,Electronic Arts,EA Canada,8.6,,2.59,2008
734,NBA Live 2005,PS2,EA Sports,EA Canada,8.9,,2.59,2004
735,Hotline Miami,PC,Devolver Digital,Dennaton Games,8.8,8.6,2.58,2012
736,Bastion,PC,Warner Bros. Interactive Entertainment,Supergiant Games,8.5,8.5,2.58,2011
737,WWE SmackDown vs. RAW 2007,PS2,THQ,Yuke's,8,,2.58,2006
738,Skylanders Giants,Wii,Activision,Toys for Bob,8,,2.58,2012
739,Ratchet & Clank: Up Your Arsenal,PS2,Sony Computer Entertainment,Insomniac Games,9.1,,2.57,2004
740,Madden NFL 08,PS2,EA Sports,EA Tiburon,7.9,,2.57,2007
741,Clubhouse Games,DS,Nintendo,Agenda,8.3,,2.57,2006
742,NBA 2K14,X360,2K Sports,Visual Concepts,9.3,,2.57,2013
743,Ratchet & Clank Future: Tools of Destruction,PS3,Sony Computer Entertainment,Insomniac Games,8.9,,2.57,2007
744,Hot Shots Golf,PS,Sony Computer Entertainment,Camelot Software Planning,8,,2.56,1998
745,Dragon Age: Origins,X360,Electronic Arts,BioWare Edmonton,8.5,,2.56,2009
746,Kirby Star Allies,NS,Nintendo,HAL Laboratory,8.1,10,2.56,2018
747,Kirby: Triple Deluxe,3DS,Nintendo,HAL Laboratory,7.8,8.7,2.56,2014
748,FIFA 16,PS3,EA Sports,EA Canada,9,,2.55,2015
749,Pokemon Stadium 2,N64,Nintendo,HAL Laboratory,7.9,,2.54,2001
750,Madden NFL 09,X360,EA Sports,EA Tiburon,8.5,,2.54,2008
751,Space Invaders,2600,Atari,Atari,,,2.53,1978
752,Crazy Taxi,PS2,Acclaim Entertainment,Hitmaker,8.2,,2.52,2001
753,Dragon Ball: Xenoverse 2,PS4,Namco Bandai Games,Dimps Corporation,7.1,7.5,2.52,2016
754,Perfect Dark,N64,Rare,Rare Ltd.,9.7,,2.52,2000
755,Tomb Raider (2013),PS3,Square Enix,Crystal Dynamics,8.9,,2.51,2013
756,Midnight Club: Los Angeles,PS3,Rockstar Games,Rockstar San Diego,8.3,,2.5,2008
757,PES 2009: Pro Evolution Soccer,PS2,Konami,Konami,,,2.5,2008
758,Marvel: Ultimate Alliance,X360,Activision,Raven Software,8.3,,2.5,2006
759,Black & White,PC,Electronic Arts,Lionhead Studios,9.3,,2.5,2001
760,Crisis Core: Final Fantasy VII,PSP,Square Enix,Square Enix,8.1,9,2.5,2008
761,Dance Central,X360,MTV Games,Harmonix Music Systems,8.4,,2.5,2010
762,Diablo,PC,Blizzard Entertainment,Blizzard Entertainment,8.7,,2.5,1996
763,Dragon Ball Z: Budokai 3,PS2,Atari,Dimps Corporation,,,2.5,2004
764,Dragon Quest II,NES,Enix,ChunSoft,,,2.5,1990
765,Far Cry,PC,Ubisoft,Crytek,8.6,,2.5,2004
766,Final Fantasy Tactics,PS,Sony Computer Entertainment,SquareSoft,8.8,,2.5,1998
767,Forza Horizon 3,XOne,Microsoft Studios,Playground Games,9,8,2.5,2016
768,Warcraft III: The Frozen Throne,PC,Blizzard Entertainment,Blizzard Entertainment,9.2,,2.5,2003
769,Rise of the Tomb Raider,PC,Square Enix,Crystal Dynamics,8.6,7.9,2.49,2016
770,Dustforce DX,PC,Hitbox Team,Hitbox Team,,,2.49,2012
771,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Rockstar Games,Rockstar North,9.8,,2.49,2003
772,NBA 2K15,PS4,2K Sports,Visual Concepts,8.3,6.9,2.49,2014
773,Game Party,Wii,Midway Games,JGI Entertainment,2.6,,2.49,2007
774,Mortal Kombat: Deadly Alliance,PS2,Midway Games,Midway,8.2,,2.49,2002
775,Dungeon Defenders,PC,Trendy Entertainment,Trendy Entertainment,8.3,7.3,2.48,2011
776,Mario Party 2,N64,Nintendo,Hudson Soft,7.9,,2.48,2000
777,Saints Row: The Third,PS3,THQ,Volition Inc.,8.3,,2.48,2011
778,Tomb Raider: The Last Revelation,PS,Eidos Interactive,Core Design Ltd.,8.5,,2.48,1999
779,Assassin's Creed Origins,XOne,Ubisoft,Ubisoft Montreal,8.5,7.5,2.47,2017
780,Pure,X360,Disney Interactive Studios,Black Rock Studio,8.3,,2.47,2008
781,Rock Band,X360,MTV Games,Harmonix Music Systems,9.1,,2.47,2007
782,Minecraft,PSV,Sony Computer Entertainment America,4J Studios,,,2.47,2014
783,Battlefield 1942,PC,Electronic Arts,Digital Illusions CE,9,,2.47,2002
784,WarioWare Touched!,DS,Nintendo,Intelligent Systems,7.8,,2.47,2005
785,Resistance 2,PS3,Sony Computer Entertainment,Insomniac Games,8.5,8.7,2.47,2008
786,Batman: Arkham City,PC,Warner Bros. Interactive,Rocksteady Studios,9,8.7,2.47,2011
787,Madden NFL 16,XOne,EA Sports,EA Tiburon,8.4,6,2.47,2015
788,Mario Party 4,GC,Nintendo,Hudson Soft,7,,2.46,2002
789,Paper Mario: Sticker Star,3DS,Nintendo,Intelligent Systems,8.3,5.7,2.46,2012
790,Dying Light,PS4,Warner Bros. Interactive,Techland,7.4,7.9,2.45,2015
791,Dark Souls III,PS4,Namco Bandai Games,From Software,8.9,8.8,2.45,2016
792,LEGO Harry Potter: Years 1-4,Wii,Warner Bros. Interactive,Traveller's Tales,7.9,,2.45,2010
793,uDraw Studio,Wii,THQ,"Pipeworks Software, Inc.",,,2.44,2010
794,Madden NFL 17,XOne,EA Sports,EA Tiburon,8.1,5.4,2.44,2016
795,Twisted Metal 2,PS,Sony Computer Entertainment,SingleTrac,8.7,,2.44,1996
796,The Sims: Bustin' Out,PS2,Electronic Arts,Maxis,8,,2.43,2003
797,Need for Speed Carbon: Own the City,PSP,Electronic Arts,EA Black Box,7.4,,2.42,2006
798,Ice Hockey,NES,Nintendo,Nintendo,7,,2.42,1988
799,Sonic Adventure,DC,Sega,Sonic Team,8.9,,2.42,1999
800,Tom Clancy's Rainbow Six: Vegas 2,X360,Ubisoft,Ubisoft Montreal,8.2,,2.42,2008
801,God of War Collection,PS3,Sony Computer Entertainment,Bluepoint Games,9.2,,2.42,2009
802,Kinect: Disneyland Adventures,X360,Microsoft Studios,Frontier Developments,8.5,,2.41,2011
803,Pro Evolution Soccer 2011,PS3,Konami,Konami,6,,2.41,2010
804,ATV Offroad Fury,PS2,Sony Computer Entertainment,Rainbow Studios,8.4,,2.41,2001
805,Pokemon Colosseum,GC,Nintendo,Genius Sonority Inc.,7,,2.41,2004
806,NBA 2K16,XOne,2K Sports,Visual Concepts,8.3,6.1,2.41,2015
807,Halo: Combat Evolved Anniversary,X360,Microsoft Studios,343 Industries,8,,2.41,2011
808,Need for Speed: ProStreet,PS2,Electronic Arts,EA Black Box,,,2.41,2007
809,Tetris Plus,PS,Jaleco,Atlus Co.,6,,2.4,1996
810,Forza Motorsport 5,XOne,Microsoft Studios,Turn 10 Studios,8.8,6,2.4,2013
811,Midnight Club: Los Angeles,X360,Rockstar Games,Rockstar San Diego,8,,2.4,2008
812,Command & Conquer: Tiberian Sun,PC,Westwood Studios,Westwood Studios,,,2.4,1999
813,Dino Crisis,PS,Capcom,Capcom Production Studio 4,8.9,,2.4,1999
814,Final Fantasy V,SNES,Square,SquareSoft,7.5,,2.4,1992
815,Monster Hunter Freedom 2,PSP,Capcom,Capcom,7.6,,2.4,2007
816,Pro Wrestling,NES,Nintendo,TRY Corporation,,,2.4,1987
817,Theme Hospital,PC,Electronic Arts,Bullfrog Productions,5.5,,2.4,1997
818,God of War: Ascension,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,7.8,,2.4,2013
819,Madden NFL 11,PS3,EA Sports,EA Tiburon,8.4,,2.4,2010
820,Batman: Arkham Origins,PS3,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,7.8,,2.4,2013
821,Frogger's Adventures: Temple of the Frog,GBA,Konami,Konami,6.7,,2.39,2001
822,Zumba Fitness,X360,Majesco,"Pipeworks Software, Inc.",,,2.39,2010
823,Mario & Sonic at the London 2012 Olympic Games,Wii,Sega,Sega,6.8,,2.39,2011
824,Monopoly,PC,Hasbro Interactive,Unknown,,,2.39,1995
825,Mortal Kombat II (US & Others sales),GEN,Acclaim Entertainment,Probe Entertainment Limited,,,2.39,1994
826,Guitar Hero,PS2,RedOctane,Harmonix Music Systems,8,,2.38,2005
827,Dead Island,X360,Deep Silver,Techland,7,,2.38,2011
828,WCW/nWo Revenge,N64,THQ,Aki Corp.,,,2.38,1998
829,Ratchet & Clank (2016),PS4,Sony Interactive Entertainment,Insomniac Games,,,2.38,2016
830,Yu-Gi-Oh! The Duelists of the Roses,PS2,Konami,Konami,,,2.38,2003
831,Madden NFL 08,X360,EA Sports,EA Tiburon,8.7,,2.37,2007
832,The Incredibles,PS2,THQ,Heavy Iron Studios,5.9,,2.37,2004
833,Tony Hawk's Underground 2,PS2,Activision,Neversoft Entertainment,8.6,,2.37,2004
834,Madden NFL 10,PS3,EA Sports,EA Tiburon,8.5,,2.37,2009
835,Uncharted: The Lost Legacy,PS4,Sony Interactive Entertainment,Naughty Dog,8.4,7.7,2.37,2017
836,Sonic's Ultimate Genesis Collection,PS3,Sega,Backbone Entertainment,8.1,,2.36,2009
837,Sleeping Dogs,PC,Square Enix,United Front Games,8.5,8.3,2.36,2012
838,Kirby's Dream Land 2,GB,Nintendo,HAL Laboratory,,,2.36,1995
839,Pokemon Mystery Dungeon: Red Rescue Team,GBA,Nintendo,ChunSoft,6.5,,2.36,2006
840,Destiny 2,XOne,Activision,Bungie,8.7,4.2,2.35,2017
841,Donkey Kong Land 2,GB,Nintendo,Rare Ltd.,,,2.35,1996
842,Dragon Quest Monsters,GB,Eidos Interactive,TOSE,,,2.35,1999
843,Pokemon Ranger: Shadows of Almia,DS,Nintendo,HAL Laboratory,6.7,,2.35,2008
844,Tekken 7,PS4,Namco Bandai Games,Namco Bandai Games,8.2,6.8,2.35,2017
845,WarioWare: Smooth Moves,Wii,Nintendo,Intelligent Systems,8.2,,2.35,2007
846,LEGO Indiana Jones: The Original Adventures,Wii,LucasArts,Traveller's Tales,7.8,,2.35,2008
847,Lego Marvel Super Heroes,X360,Warner Bros. Interactive Entertainment,Traveller's Tales,,,2.34,2013
848,WWE SmackDown vs Raw 2008,PS2,THQ,Yuke's Media Creations,,,2.34,2007
849,Dragon Age: Inquisition,PS4,Electronic Arts,BioWare Edmonton,8.9,7.4,2.34,2014
850,Kinect Sports: Season Two,X360,Microsoft Studios,Rare Ltd.,6.6,,2.33,2011
851,Madden NFL 25,X360,EA Sports,EA Tiburon,7.8,,2.33,2013
852,Art Academy,DS,Nintendo,Headstrong Games,6.8,,2.33,2010
853,My Fitness Coach,Wii,Ubisoft,Ubisoft,7.1,,2.32,2008
854,Assassin's Creed IV: Black Flag,XOne,Ubisoft,Ubisoft Montreal,8.3,,2.32,2013
855,Mario Super Sluggers,Wii,Nintendo,Bandai Namco Games / NOW Production,6.7,,2.32,2008
856,Mario Tennis,N64,Nintendo,Camelot Software Planning,8.8,,2.32,2000
857,Yokai Watch Blasters: Red Cat Corps / White Dog Squad,3DS,Nintendo,Level 5,,,2.32,2018
858,Grand Theft Auto,PS,Take-Two Interactive,DMA Design,6,,2.32,1998
859,James Bond 007: Everything or Nothing,PS2,Electronic Arts,EA Redwood Shores,8.5,,2.31,2004
860,Mafia II,PC,2K Games,Illusion Softworks,7.6,,2.31,2010
861,Need for Speed: High Stakes,PS,Electronic Arts,EA Canada,8.8,,2.31,1999
862,Mario Paint,SNES,Nintendo,Intelligent Systems,,,2.31,1992
863,The Legend of Zelda: The Wind Waker,WiiU,Nintendo,Nintendo EAD,9.3,,2.31,2013
864,The Sims 3,X360,Electronic Arts,The Sims Studio,8,,2.31,2010
865,Cool Boarders 3,PS,989 Studios,Idol Minds Digital Entertainment,6,,2.31,1998
866,LEGO Star Wars: The Complete Saga,PS3,LucasArts,Traveller's Tales,8,,2.31,2007
867,"Papers, Please",PC,3909 LLC,3909 LLC,8.4,8.5,2.31,2013
868,Chrono Trigger,SNES,Square,SquareSoft,8.8,,2.3,1995
869,Final Fantasy III,DS,Square Enix,Matrix Software,7.4,,2.3,2006
870,Resident Evil 4,PS2,Capcom,Capcom Production Studio 4,9.6,9.3,2.3,2005
871,Tabletop Simulator,PC,Berserk Games,Berserk Games,,,2.3,2015
872,LEGO Harry Potter: Years 1-4,DS,Warner Bros. Interactive,Traveller's Tales,8,,2.29,2010
873,Dead Island,PS3,Deep Silver,Techland,6.7,,2.29,2011
874,Tomb Raider II,PC,Eidos Interactive,Core Design Ltd.,8.2,,2.29,1997
875,Need for Speed Underground 2,XB,Electronic Arts,EA Black Box,9.1,,2.28,2004
876,Pro Evolution Soccer 2010,PS3,Konami,Konami,7,,2.28,2009
877,Fire Emblem: Awakening,3DS,Nintendo,Intelligent Systems,9,9.1,2.28,2013
878,Mario Bros.,NES,Nintendo,Nintendo R&D1,4.5,,2.28,1986
879,Darksiders: Warmastered Edition,PC,THQ Nordic,Kaiko,,,2.28,2016
880,FIFA Soccer 09,PS2,Electronic Arts,EA Canada,7.1,,2.28,2008
881,Star Wars Battlefront II (US sales),PS2,LucasArts,Pandemic Studios,,,2.27,2005
882,Golf With Your Friends,PC,Team 17,Blacklight Interactive,,,2.27,2016
883,Animal Crossing,GC,Nintendo,Nintendo EAD,8.3,,2.27,2002
884,Classic NES Series: Super Mario Bros.,GBA,Nintendo,Nintendo EAD,8.3,,2.27,2004
885,Kirby Squeak Squad,DS,Nintendo,"HAL Laboratory, Flagship",7.3,,2.27,2006
886,Madden NFL 12,PS3,EA Sports,EA Tiburon,7.8,,2.27,2011
887,Borderlands 2,PS3,2K Games,Gearbox Software,9,,2.27,2012
888,No Man's Sky,PS4,Hello Games,Hello Games,6.8,4.6,2.26,2016
889,Cool Boarders 2,PS,Sony Computer Entertainment,UEP Systems,7.2,,2.25,1997
890,Battlefield 2,PC,Electronic Arts,Digital Illusions CE,9,,2.25,2005
891,Donkey Kong Country: Tropical Freeze,NS,Nintendo,Retro Studios,9.1,9.1,2.25,2018
892,Dynasty Warriors 4,PS2,KOEI,Omega Force,8.6,,2.25,2003
893,Guitar Hero III: Legends of Rock,PS3,RedOctane,Neversoft,8.2,8,2.25,2007
894,Just Dance Kids,Wii,Ubisoft,Ubisoft Paris,,,2.25,2010
895,Madden NFL 15,PS4,EA Sports,EA Tiburon,8.1,6.1,2.25,2014
896,Call of Duty 3,Wii,Activision,EXAKT Entertainment,6.8,7.3,2.24,2006
897,Batman: Arkham Asylum,PC,Eidos Interactive,Rocksteady Studios,9.3,,2.24,2009
898,Sonic Advance,GBA,Sega,Dimps Corporation / Sonic Team,9.1,,2.24,2002
899,Super Mario All-Stars: Limited Edition,Wii,Nintendo,Nintendo EAD,7.2,,2.24,2010
900,Spyro: Season of Ice,GBA,Vivendi Games,Digital Eclipse,,,2.23,2001
901,Air Combat,PS,Namco,Namco,7,,2.23,1995
902,Mario Party 10,WiiU,Nintendo,"Nd Cube Co., Ltd.",6.3,6.4,2.23,2015
903,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,Ultra Games,Konami,,,2.23,1990
904,Dance Dance Revolution X2,PS2,Konami,Konami Computer Entertainment Tokyo,,,2.23,2009
905,Battlefield V,PS4,Electronic Arts,EA DICE,7.3,2.1,2.22,2018
906,Prince of Persia: The Sands of Time,PS2,Ubisoft,Ubisoft Montreal,9,9.1,2.22,2003
907,FIFA 19,XOne,Electronic Arts,EA Sports,8.3,2,2.22,2018
908,Star Wars: The Force Unleashed,PS3,LucasArts,LucasArts,6.8,,2.22,2008
909,The Legend of Zelda: Link's Awakening DX,GBC,Nintendo,Nintendo EAD,9.4,,2.22,1998
910,NBA 2K14,PS3,2K Sports,Visual Concepts,9.3,,2.22,2013
911,Darkest Dungeon,PC,Red Hook Studios,Red Hook Studios,8.4,7.8,2.21,2016
912,Madden NFL 19,PS4,EA Sports,EA Tiburon,8,2.3,2.21,2018
913,ARMS,NS,Nintendo,Nintendo EPD,7.9,7.1,2.21,2017
914,Guitar Hero II,X360,RedOctane,Harmonix Music Systems,9.2,,2.21,2007
915,LEGO Indiana Jones: The Original Adventures,DS,LucasArts,Traveller's Tales,8,,2.2,2008
916,Need for Speed: Hot Pursuit,X360,Electronic Arts,Criterion Games,8.8,,2.2,2010
917,Frogger,2600,Parker Bros.,Konami,,,2.2,1982
918,Rock Band 2,X360,MTV Games,Harmonix Music Systems,9.2,,2.2,2008
919,Baldur's Gate,PC,Interplay,BioWare,9.2,,2.2,1998
920,NieR: Automata,PS4,Square Enix,PlatinumGames,8.8,8.9,2.2,2017
921,R.B.I. Baseball,NES,Tengen,Namco,,,2.2,1988
922,Wario Land 3,GB,Nintendo,Nintendo R&D1,,,2.2,2000
923,Wario Land 4,GBA,Nintendo,Nintendo R&D1,9,,2.2,2001
924,BioShock 2,X360,2K Games,2K Marin,8.6,,2.2,2010
925,High School Musical: Makin' the Cut!,DS,Disney Interactive Studios,Artificial Mind and Movement,7.3,,2.2,2007
926,Final Fantasy XIII,X360,Square Enix,Square Enix,8.1,,2.19,2010
927,Skylanders SWAP Force,Wii,Activision,Beenox,,,2.19,2013
